epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5772,1.16301,3.34227,1.25124,0.01715,0.93422,0.25451,0.19849,0.91751,3.21453,0.82132,0.000297864,0.000297864,0.000297864
2,16.1872,0.95493,2.35649,1.11192,0.21249,0.78883,0.3285,0.2416,0.98022,1.92903,0.99386,0.000594916,0.000594916,0.000594916
3,21.7533,0.96959,1.93015,1.10178,0.25944,0.81244,0.33706,0.25745,0.90992,1.80844,0.91637,0.000885968,0.000885968,0.000885968
4,27.7427,0.90524,1.75937,1.07562,0.2462,0.79796,0.39175,0.32087,0.82323,1.61838,0.79925,0.000882003,0.000882003,0.000882003
5,33.0936,0.85608,1.61829,1.05006,0.3766,0.77861,0.43206,0.34896,0.8586,1.61889,0.81772,0.000873004,0.000873004,0.000873004
6,38.9392,0.83074,1.57135,1.03426,0.31425,0.75417,0.39918,0.31414,0.85589,1.58849,0.82689,0.000864004,0.000864004,0.000864004
7,44.6904,0.80619,1.50629,1.03311,0.34347,0.73393,0.51164,0.42302,0.84591,1.46103,0.84272,0.000855005,0.000855005,0.000855005
8,50.1498,0.81398,1.48112,1.03844,0.38173,0.61903,0.4935,0.38306,0.89332,1.46249,0.88167,0.000846006,0.000846006,0.000846006
9,55.5505,0.7999,1.468,1.02852,0.33634,0.70431,0.53685,0.42803,0.85265,1.37386,0.83844,0.000837007,0.000837007,0.000837007
10,61.1591,0.79487,1.40154,1.02246,0.417,0.63835,0.55614,0.42706,0.95413,1.39781,0.95131,0.000828008,0.000828008,0.000828008
11,66.5511,0.78692,1.40373,1.0238,0.47511,0.66418,0.58158,0.48806,0.80148,1.26598,0.80185,0.000819009,0.000819009,0.000819009
12,72.3091,0.76235,1.36608,1.01133,0.37963,0.74859,0.56353,0.46972,0.82393,1.44591,0.81676,0.00081001,0.00081001,0.00081001
13,77.9737,0.79358,1.34057,1.01644,0.45817,0.73446,0.59251,0.42707,0.98153,1.30693,0.93083,0.000801011,0.000801011,0.000801011
14,83.5658,0.7736,1.31602,1.01457,0.49616,0.74314,0.62916,0.52426,0.80681,1.21995,0.80524,0.000792012,0.000792012,0.000792012
15,88.8196,0.78046,1.29088,1.01224,0.53495,0.68107,0.61677,0.51611,0.82739,1.22232,0.81189,0.000783013,0.000783013,0.000783013
16,93.9463,0.75432,1.25421,1.0144,0.52935,0.71974,0.65327,0.54785,0.78714,1.15542,0.80182,0.000774013,0.000774013,0.000774013
17,99.1875,0.78682,1.27049,1.01926,0.4328,0.74862,0.6414,0.53706,0.81024,1.19007,0.81315,0.000765014,0.000765014,0.000765014
18,105.321,0.74522,1.23638,1.0118,0.57675,0.70146,0.66136,0.54605,0.79188,1.17916,0.80296,0.000756015,0.000756015,0.000756015
19,111.08,0.73092,1.21997,1.00136,0.54517,0.69501,0.64338,0.53683,0.80632,1.14949,0.80335,0.000747016,0.000747016,0.000747016
20,116.596,0.75994,1.21152,1.0141,0.54309,0.71794,0.67549,0.56242,0.79377,1.15074,0.79137,0.000738017,0.000738017,0.000738017
21,121.851,0.73327,1.17372,1.00445,0.55316,0.73664,0.66985,0.56476,0.7898,1.12291,0.79976,0.000729018,0.000729018,0.000729018
22,127.902,0.74082,1.19709,1.00856,0.58258,0.73692,0.6831,0.56782,0.79172,1.08976,0.80553,0.000720019,0.000720019,0.000720019
23,133.653,0.73733,1.1717,1.00019,0.53977,0.67083,0.67437,0.55826,0.80738,1.20813,0.80938,0.00071102,0.00071102,0.00071102
